fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-02-25,Servicios Temporales,25,Febrero,2022,71,2
2022-02-26,Atenea,26,Febrero,2022,7230,2
2022-02-26,Ecoatenea,26,Febrero,2022,2194,2
2022-02-26,Ecobús,26,Febrero,2022,22639,2
2022-02-26,Expdirecto,26,Febrero,2022,773,2
2022-02-26,Expreso,26,Febrero,2022,86109,2
2022-02-26,Nochebús,26,Febrero,2022,1427,2
2022-02-26,Ordinario,26,Febrero,2022,57874,2
2022-02-26,S/Metro,26,Febrero,2022,48052,2
2022-02-26,Servicios Temporales,26,Febrero,2022,4479,2
2022-02-27,Atenea,27,Febrero,2022,4265,2
2022-02-27,Ecoatenea,27,Febrero,2022,1251,2
2022-02-27,Ecobús,27,Febrero,2022,15825,2
2022-02-27,Expreso,27,Febrero,2022,62844,2
2022-02-27,Nochebús,27,Febrero,2022,1241,2
2022-02-27,Ordinario,27,Febrero,2022,37716,2
2022-02-27,S/Metro,27,Febrero,2022,33522,2
2022-02-27,Servicios Temporales,27,Febrero,2022,5033,2
2022-02-28,Atenea,28,Febrero,2022,19813,2
2022-02-28,Ecoatenea,28,Febrero,2022,3996,2
2022-02-28,Ecobús,28,Febrero,2022,35339,2
2022-02-28,Expdirecto,28,Febrero,2022,8508,2
2022-02-28,Expreso,28,Febrero,2022,132162,2
2022-02-28,Nochebús,28,Febrero,2022,608,2
